,year,count,authgender,chargender,auth_char_gender
862,1827,179,m,u,m:u
863,1827,133,u,u,u:u
864,1827,115,m,f,m:f
865,1827,44,u,f,u:f
866,1827,24,f,f,f:f
867,1827,7,f,m,f:m
868,1827,1,f,u,f:u
869,1826,2554,m,m,m:m
870,1826,814,u,m,u:m
871,1826,357,m,u,m:u
872,1826,228,m,f,m:f
873,1826,185,u,u,u:u
874,1826,126,u,f,u:f
875,1826,97,f,m,f:m
876,1826,28,f,f,f:f
877,1826,18,f,u,f:u
878,1825,3417,m,m,m:m
879,1825,836,u,m,u:m
880,1825,388,m,u,m:u
881,1825,288,m,f,m:f
882,1825,129,u,u,u:u
883,1825,47,u,f,u:f
884,1825,13,f,m,f:m
885,1825,7,f,u,f:u
886,1825,1,f,f,f:f
887,1824,1772,m,m,m:m
888,1824,448,u,m,u:m
889,1824,290,f,m,f:m
890,1824,201,m,u,m:u
891,1824,165,f,f,f:f
892,1824,152,m,f,m:f
893,1824,72,u,u,u:u
894,1824,57,u,f,u:f
895,1824,5,f,u,f:u
896,1823,1603,m,m,m:m
897,1823,1082,u,m,u:m
898,1823,244,u,u,u:u
899,1823,144,m,f,m:f
900,1823,140,f,m,f:m
901,1823,131,m,u,m:u
902,1823,79,u,f,u:f
903,1823,34,f,f,f:f
904,1823,9,f,u,f:u
905,1822,1662,m,m,m:m
906,1822,783,u,m,u:m
907,1822,215,u,u,u:u
908,1822,196,m,f,m:f
909,1822,167,m,u,m:u
